Barcodes,Name,Category,Shelf,Copies,Note
100001,The Nineteen Letters,Hashkafa,1,2,
100002,Jew Got Questions?,Hashkafa,1,,
100003,The Foundation Of Judaism,Hashkafa,1,,
100004,No Atheists In A Foxhole,Hashkafa,1,,
100005,Step By Step In The Jewish Religion,Hashkafa,1,,
100006,The Nine Questians People Ask About Judaism,Hashkafa,1,2,
100007,The Y Factor,Hashkafa,1,,
100008,What's The Purpose,Hashkafa,1,2,
100009,L'Hovin Ul'Haskil,Hashkafa,1,2,
100010,Fundamentals Of Judaism,Hashkafa,1,,
100011,The Eye Of A Needle,Hashkafa,1,2,
100012,Why,Hashkafa,1,,
100013,Jewish Faith In Our Time,Hashkafa,1,,
100014,Think Jewish,Hashkafa,1,,
100015,Permission To Believe,Hashkafa,1,,
100016,Handbook Of Jewish Thought,Hashkafa,1,2,
100017,Understanding Judaism,Hashkafa,1,2,
100018,The Chosen Road,Hashkafa,1,,
100019,The Hidden Face Of God,Hashkafa,1,,
100020,Why Be Jewish?,Hashkafa,1,,
100021,Choose Life!,Hashkafa,1,,
100022,We're Missing The Point,Hashkafa,1,,
100023,Israel: The Christian Dilemma,Hashkafa,1,,
100024,The Thirteen Petalled Rose,Hashkafa,1,,
100025,The Modern Jew Faces Eternal Problems,Hashkafa,1,,
100026,Contemporary Judaism's Response To Modernity,Hashkafa,1,,
100027,In The Beginning,Hashkafa,1,,
100028,Something From Nothing,Hashkafa,1,,
100029,Israeli Judaism,Hashkafa,1,,
100030,The Universal Jew,Hashkafa,1,,
100031,Judaism A Way Of Being,Hashkafa,1,,
100032,Torah - The Oral Tradition,Hashkafa,2,,
100033,Proselytism In The Talmudic Period,Hashkafa,2,,
100034,The Dynamics Of Dispute,Hashkafa,2,,
100035,The Oral Law,Hashkafa,2,2,
100036,The Essential Talmud,Hashkafa,2,,
100037,Lagacy Of Sinai,Hashkafa,2,2,
100038,Be'Er Hagolah,Hashkafa,2,,
100039,Morality Halachah And The Jewish Tradition,Hashkafa,2,,
100040,A Treasury Of Tradition,Hashkafa,2,,
100041,Not In Heaven,Hashkafa,2,,
100042,The God Idea In Jewish Tradition,Hashkafa,2,,
100043,With Perfect Faith,Hashkafa,2,,
100044,Challenge Of Sinai,Hashkafa,2,,
100045,Anvil Of Sinai,Hashkafa,2,,
100046,The Mitzvot,Hashkafa,2,,
100047,The Jewish Mind,Hashkafa,2,2,
100048,Listen To Your Messages,Hashkafa,3,,
100049,Rabbi Yissocher Frand In Print,Hashkafa,3,2,
100050,It's Never Too Little It's Never Too Late It's Never Enough,Hashkafa,3,,
100051,The Aryeh Kaplan Reader,Hashkafa,3,2,
100052,The Aryeh Kaplan Anthology II,Hashkafa,3,,
100053,The Aryeh Kaplan Anthology I,Hashkafa,3,2,
100054,From A Pure Fire,Hashkafa,3,,
100055,Torah Perspectives,Hashkafa,3,,
